holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,hour,day_of_week,day_of_year,month,year,is_weekend
11,15.129999999999995,0.0,0.0,40.0,1,23,5545.0,9,1,276,10,2012,False
11,16.210000000000036,0.0,0.0,75.0,1,2,4516.0,10,1,276,10,2012,False
11,16.430000000000007,0.0,0.0,90.0,1,18,4767.0,11,1,276,10,2012,False
11,16.980000000000018,0.0,0.0,90.0,1,18,5026.0,12,1,276,10,2012,False
11,17.99000000000001,0.0,0.0,75.0,1,2,4918.0,13,1,276,10,2012,False
11,18.57000000000005,0.0,0.0,1.0,0,26,5181.0,14,1,276,10,2012,False
11,20.02000000000004,0.0,0.0,1.0,0,26,5584.0,15,1,276,10,2012,False
11,20.71000000000004,0.0,0.0,1.0,0,26,6015.0,16,1,276,10,2012,False
11,20.99000000000001,0.0,0.0,20.0,1,4,5791.0,17,1,276,10,2012,False
11,19.950000000000045,0.0,0.0,20.0,1,4,4770.0,18,1,276,10,2012,False
11,17.82000000000005,0.0,0.0,20.0,1,4,3539.0,19,1,276,10,2012,False
11,16.230000000000018,0.0,0.0,1.0,0,26,2784.0,20,1,276,10,2012,False
11,15.460000000000036,0.0,0.0,1.0,0,26,2361.0,21,1,276,10,2012,False
11,14.010000000000048,0.0,0.0,1.0,0,26,1529.0,22,1,276,10,2012,False
11,12.300000000000011,0.0,0.0,1.0,0,26,963.0,23,1,276,10,2012,False
11,11.480000000000018,0.0,0.0,1.0,0,26,506.0,0,2,277,10,2012,False
11,10.32000000000005,0.0,0.0,1.0,0,26,321.0,1,2,277,10,2012,False
11,8.03000000000003,0.0,0.0,1.0,0,26,273.0,2,2,277,10,2012,False
11,7.939999999999998,0.0,0.0,1.0,0,26,367.0,3,2,277,10,2012,False
11,6.379999999999996,0.0,0.0,1.0,0,26,814.0,4,2,277,10,2012,False
11,5.470000000000027,0.0,0.0,1.0,0,26,2718.0,5,2,277,10,2012,False
11,5.080000000000041,0.0,0.0,1.0,0,26,5673.0,6,2,277,10,2012,False
11,5.080000000000041,0.0,0.0,1.0,11,35,5673.0,7,2,277,10,2012,False
11,4.970000000000027,0.0,0.0,1.0,0,26,6511.0,8,2,277,10,2012,False
11,9.33000000000004,0.0,0.0,1.0,0,26,5471.0,9,2,277,10,2012,False
11,9.33000000000004,0.0,0.0,1.0,11,35,5471.0,10,2,277,10,2012,False
11,9.33000000000004,0.0,0.0,1.0,11,35,5471.0,11,2,277,10,2012,False
11,18.82000000000005,0.0,0.0,1.0,0,26,5097.0,12,2,277,10,2012,False
11,20.08000000000004,0.0,0.0,1.0,0,26,4887.0,13,2,277,10,2012,False
11,21.160000000000025,0.0,0.0,1.0,0,26,5337.0,14,2,277,10,2012,False
11,22.02000000000004,0.0,0.0,1.0,0,26,5692.0,15,2,277,10,2012,False
11,21.980000000000015,0.0,0.0,1.0,0,26,6137.0,16,2,277,10,2012,False
11,21.980000000000015,0.0,0.0,1.0,11,35,6137.0,17,2,277,10,2012,False
11,20.510000000000048,0.0,0.0,20.0,1,4,4623.0,18,2,277,10,2012,False
11,17.5,0.0,0.0,20.0,1,4,3591.0,19,2,277,10,2012,False
11,15.04000000000002,0.0,0.0,20.0,1,4,2898.0,20,2,277,10,2012,False
11,13.950000000000044,0.0,0.0,1.0,0,26,2637.0,21,2,277,10,2012,False
11,13.100000000000025,0.0,0.0,1.0,0,26,1777.0,22,2,277,10,2012,False
11,12.110000000000014,0.0,0.0,1.0,0,26,1015.0,23,2,277,10,2012,False
11,11.400000000000034,0.0,0.0,1.0,0,26,598.0,0,3,278,10,2012,False
11,10.32000000000005,0.0,0.0,1.0,0,26,369.0,1,3,278,10,2012,False
11,10.02000000000004,0.0,0.0,1.0,0,26,312.0,2,3,278,10,2012,False
11,8.890000000000043,0.0,0.0,1.0,0,26,367.0,3,3,278,10,2012,False
11,8.54000000000002,0.0,0.0,1.0,0,26,835.0,4,3,278,10,2012,False
11,8.170000000000016,0.0,0.0,1.0,0,26,2726.0,5,3,278,10,2012,False
11,7.590000000000032,0.0,0.0,1.0,0,26,5689.0,6,3,278,10,2012,False
11,7.420000000000016,0.0,0.0,1.0,0,26,6990.0,7,3,278,10,2012,False
11,8.710000000000036,0.0,0.0,1.0,0,26,5985.0,8,3,278,10,2012,False
11,11.83000000000004,0.0,0.0,1.0,0,26,5309.0,9,3,278,10,2012,False
11,16.03000000000003,0.0,0.0,1.0,0,26,4603.0,10,3,278,10,2012,False
11,18.400000000000038,0.0,0.0,1.0,0,26,4884.0,11,3,278,10,2012,False
11,21.82000000000005,0.0,0.0,1.0,0,26,5104.0,12,3,278,10,2012,False
11,23.230000000000015,0.0,0.0,1.0,0,26,5178.0,13,3,278,10,2012,False
11,24.170000000000016,0.0,0.0,1.0,0,26,5501.0,14,3,278,10,2012,False
11,25.02000000000004,0.0,0.0,1.0,0,26,5713.0,15,3,278,10,2012,False
11,24.910000000000025,0.0,0.0,20.0,1,4,6292.0,16,3,278,10,2012,False
11,24.52000000000004,0.0,0.0,20.0,1,4,6057.0,17,3,278,10,2012,False
11,23.21000000000004,0.0,0.0,40.0,1,23,4907.0,18,3,278,10,2012,False
11,20.700000000000045,0.0,0.0,40.0,1,23,3503.0,19,3,278,10,2012,False
11,19.28000000000003,0.0,0.0,40.0,1,23,3037.0,20,3,278,10,2012,False
11,18.620000000000005,0.0,0.0,75.0,1,2,2822.0,21,3,278,10,2012,False
11,18.21000000000004,0.0,0.0,75.0,1,2,1992.0,22,3,278,10,2012,False
11,17.970000000000027,0.0,0.0,75.0,1,2,1166.0,23,3,278,10,2012,False
11,17.480000000000018,0.0,0.0,75.0,1,2,627.0,0,4,279,10,2012,False
11,17.310000000000002,0.0,0.0,40.0,1,23,388.0,1,4,279,10,2012,False
11,17.310000000000002,0.0,0.0,40.0,11,35,388.0,2,4,279,10,2012,False
11,16.110000000000014,0.0,0.0,0.0,0,26,368.0,3,4,279,10,2012,False
11,16.110000000000014,0.0,0.0,0.0,11,35,368.0,4,4,279,10,2012,False
11,10.060000000000002,0.0,0.0,75.0,1,2,2489.0,5,4,279,10,2012,False
11,9.090000000000032,0.0,0.0,90.0,1,18,5537.0,6,4,279,10,2012,False
11,8.54000000000002,0.0,0.0,90.0,1,18,6628.0,7,4,279,10,2012,False
11,7.420000000000016,0.0,0.0,90.0,1,18,5534.0,8,4,279,10,2012,False
11,6.8700000000000045,0.0,0.0,75.0,1,2,5403.0,9,4,279,10,2012,False
11,6.960000000000036,0.0,0.0,75.0,1,2,4770.0,10,4,279,10,2012,False
11,6.850000000000023,0.0,0.0,90.0,1,18,5217.0,11,4,279,10,2012,False
11,7.3799999999999955,0.0,0.0,90.0,1,18,5870.0,12,4,279,10,2012,False
11,8.28000000000003,0.0,0.0,75.0,1,2,5967.0,13,4,279,10,2012,False
11,8.629999999999995,0.0,0.0,90.0,1,18,6108.0,14,4,279,10,2012,False
11,8.760000000000048,0.0,0.0,90.0,1,18,6128.0,15,4,279,10,2012,False
11,8.580000000000041,0.0,0.0,90.0,1,18,6069.0,16,4,279,10,2012,False
11,8.270000000000039,0.0,0.0,90.0,1,18,6169.0,17,4,279,10,2012,False
11,7.720000000000027,0.0,0.0,90.0,1,18,5384.0,18,4,279,10,2012,False
11,7.0,0.0,0.0,90.0,1,18,4063.0,19,4,279,10,2012,False
11,6.629999999999996,0.0,0.0,90.0,1,18,3364.0,20,4,279,10,2012,False
11,6.5,0.0,0.0,75.0,1,2,2971.0,21,4,279,10,2012,False
11,6.07000000000005,0.0,0.0,40.0,1,23,2450.0,22,4,279,10,2012,False
11,5.910000000000025,0.0,0.0,40.0,1,23,1832.0,23,4,279,10,2012,False
11,5.660000000000025,0.0,0.0,90.0,1,18,1231.0,0,5,280,10,2012,True
11,5.400000000000034,0.0,0.0,90.0,1,18,718.0,1,5,280,10,2012,True
11,5.439999999999998,0.0,0.0,90.0,1,18,545.0,2,5,280,10,2012,True
11,5.439999999999998,0.0,0.0,90.0,11,35,545.0,3,5,280,10,2012,True
11,3.840000000000032,0.0,0.0,75.0,1,2,411.0,4,5,280,10,2012,True
11,3.200000000000045,0.0,0.0,20.0,1,4,688.0,5,5,280,10,2012,True
11,2.25,0.0,0.0,1.0,0,26,1352.0,6,5,280,10,2012,True
11,2.0200000000000387,0.0,0.0,1.0,0,26,2072.0,7,5,280,10,2012,True
11,1.840000000000032,0.0,0.0,1.0,0,26,3342.0,8,5,280,10,2012,True
11,1.9399999999999975,0.0,0.0,40.0,1,23,4258.0,9,5,280,10,2012,True
11,3.730000000000018,0.0,0.0,20.0,1,4,4861.0,10,5,280,10,2012,True
11,4.890000000000043,0.0,0.0,20.0,1,4,5191.0,11,5,280,10,2012,True
11,5.930000000000007,0.0,0.0,40.0,1,23,5669.0,12,5,280,10,2012,True
11,6.970000000000027,0.0,0.0,75.0,1,2,5074.0,13,5,280,10,2012,True
11,7.100000000000023,0.0,0.0,75.0,1,2,5025.0,14,5,280,10,2012,True
11,6.850000000000023,0.0,0.0,75.0,1,2,5153.0,15,5,280,10,2012,True
11,5.910000000000025,0.0,0.0,90.0,1,18,5024.0,16,5,280,10,2012,True
11,5.760000000000048,0.0,0.0,90.0,1,18,4779.0,17,5,280,10,2012,True
11,5.240000000000009,0.0,0.0,90.0,1,18,4362.0,18,5,280,10,2012,True
11,5.010000000000048,0.0,0.0,90.0,1,18,3860.0,19,5,280,10,2012,True
11,5.010000000000048,0.0,0.0,90.0,1,18,3160.0,20,5,280,10,2012,True
11,4.78000000000003,0.0,0.0,90.0,1,18,2992.0,21,5,280,10,2012,True
11,3.75,0.0,0.0,90.0,1,18,3202.0,22,5,280,10,2012,True
11,3.1899999999999977,0.0,0.0,75.0,1,2,1941.0,23,5,280,10,2012,True
11,2.9600000000000364,0.0,0.0,75.0,1,2,1233.0,0,6,281,10,2012,True
11,2.9600000000000364,0.0,0.0,75.0,11,35,1233.0,1,6,281,10,2012,True
11,2.9600000000000364,0.0,0.0,75.0,11,35,1233.0,2,6,281,10,2012,True
11,2.580000000000041,0.0,0.0,90.0,1,18,323.0,3,6,281,10,2012,True
11,2.5,0.0,0.0,90.0,1,18,312.0,4,6,281,10,2012,True
11,2.3600000000000136,0.0,0.0,75.0,1,2,627.0,5,6,281,10,2012,True
11,1.900000000000034,0.0,0.0,90.0,1,18,1508.0,6,6,281,10,2012,True
11,1.6200000000000043,0.0,0.0,90.0,1,18,1539.0,7,6,281,10,2012,True
11,1.6200000000000043,0.0,0.0,75.0,1,2,2232.0,8,6,281,10,2012,True
11,2.400000000000034,0.0,0.0,75.0,1,2,4568.0,9,6,281,10,2012,True
11,3.090000000000032,0.0,0.0,75.0,1,2,4624.0,10,6,281,10,2012,True
11,3.8600000000000136,0.0,0.0,90.0,1,18,4529.0,11,6,281,10,2012,True
11,4.28000000000003,0.0,0.0,90.0,1,18,5139.0,12,6,281,10,2012,True
11,5.300000000000011,0.0,0.0,90.0,1,18,6640.0,13,6,281,10,2012,True
11,6.1200000000000045,0.0,0.0,90.0,1,18,6589.0,14,6,281,10,2012,True
11,6.1200000000000045,0.0,0.0,90.0,1,18,4429.0,15,6,281,10,2012,True
11,6.2900000000000205,0.0,0.0,90.0,1,18,4329.0,16,6,281,10,2012,True
11,6.170000000000016,0.0,0.0,90.0,1,18,3833.0,17,6,281,10,2012,True
11,6.1200000000000045,0.0,0.0,90.0,1,18,4015.0,18,6,281,10,2012,True
11,4.960000000000036,0.0,0.0,90.0,1,18,3382.0,19,6,281,10,2012,True
11,3.640000000000043,0.0,0.0,75.0,1,2,2815.0,20,6,281,10,2012,True
11,2.580000000000041,0.0,0.0,90.0,1,18,2110.0,21,6,281,10,2012,True
11,1.7300000000000182,0.0,0.0,75.0,1,2,1555.0,22,6,281,10,2012,True
11,0.7700000000000387,0.0,0.0,20.0,1,4,959.0,23,6,281,10,2012,True
1,-0.0699999999999931,0.0,0.0,20.0,1,4,455.0,0,0,282,10,2012,False
11,-0.5299999999999727,0.0,0.0,20.0,1,4,336.0,1,0,282,10,2012,False
11,-1.3700000000000043,0.0,0.0,1.0,0,26,265.0,2,0,282,10,2012,False
11,-2.099999999999966,0.0,0.0,1.0,0,26,314.0,3,0,282,10,2012,False
11,-2.519999999999982,0.0,0.0,1.0,0,26,779.0,4,0,282,10,2012,False
11,-2.819999999999993,0.0,0.0,1.0,0,26,2571.0,5,0,282,10,2012,False
11,-3.539999999999964,0.0,0.0,20.0,1,4,5563.0,6,0,282,10,2012,False
11,-3.1399999999999864,0.0,0.0,20.0,1,4,6676.0,7,0,282,10,2012,False
11,-1.919999999999959,0.0,0.0,20.0,1,4,5966.0,8,0,282,10,2012,False
11,0.5600000000000023,0.0,0.0,20.0,1,4,4832.0,9,0,282,10,2012,False
11,3.620000000000005,0.0,0.0,20.0,1,4,4395.0,10,0,282,10,2012,False
11,6.32000000000005,0.0,0.0,20.0,1,4,4411.0,11,0,282,10,2012,False
11,6.689999999999998,0.0,0.0,1.0,0,26,4648.0,12,0,282,10,2012,False
11,9.189999999999998,0.0,0.0,40.0,1,23,4602.0,13,0,282,10,2012,False
11,9.79000000000002,0.0,0.0,40.0,1,23,5125.0,14,0,282,10,2012,False
11,10.33000000000004,0.0,0.0,1.0,0,26,5502.0,15,0,282,10,2012,False
11,11.180000000000009,0.0,0.0,1.0,0,26,5979.0,16,0,282,10,2012,False
11,11.33000000000004,0.0,0.0,40.0,1,23,5663.0,17,0,282,10,2012,False
11,11.08000000000004,0.0,0.0,40.0,1,23,4259.0,18,0,282,10,2012,False
11,8.840000000000032,0.0,0.0,20.0,1,4,3069.0,19,0,282,10,2012,False
11,6.660000000000025,0.0,0.0,1.0,0,26,2378.0,20,0,282,10,2012,False
11,6.2000000000000455,0.0,0.0,1.0,0,26,2030.0,21,0,282,10,2012,False
11,5.75,0.0,0.0,1.0,0,26,1400.0,22,0,282,10,2012,False
11,5.310000000000002,0.0,0.0,1.0,0,26,917.0,23,0,282,10,2012,False
11,4.629999999999996,0.0,0.0,1.0,0,26,515.0,0,1,283,10,2012,False
