holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,hour,day_of_week,month,year,is_weekend,lag_1,lag_24,lag_168,traffic_volume
none,6.20,0.00,0.00,90.00,clouds,overcast clouds,9.00,1.00,10.00,2012.00,False,5765.00,4832.00,5545.00,5599.00
none,8.22,0.00,0.00,90.00,clouds,overcast clouds,10.00,1.00,10.00,2012.00,False,5599.00,4395.00,4516.00,4534.00
none,9.96,0.00,0.00,90.00,clouds,overcast clouds,11.00,1.00,10.00,2012.00,False,4534.00,4411.00,4767.00,4691.00
none,10.93,0.00,0.00,75.00,clouds,broken clouds,12.00,1.00,10.00,2012.00,False,4691.00,4648.00,5026.00,5067.00
none,11.99,0.00,0.00,75.00,clouds,broken clouds,13.00,1.00,10.00,2012.00,False,5067.00,4602.00,4918.00,5030.00
none,13.20,0.00,0.00,90.00,clouds,overcast clouds,14.00,1.00,10.00,2012.00,False,5030.00,5125.00,5181.00,5300.00
none,14.08,0.00,0.00,100.00,rain,light rain,15.00,1.00,10.00,2012.00,False,5300.00,5502.00,5584.00,5777.00
none,15.37,0.00,0.00,90.00,clouds,overcast clouds,16.00,1.00,10.00,2012.00,False,5777.00,5979.00,6015.00,6349.00
none,17.22,0.00,0.00,90.00,clouds,overcast clouds,17.00,1.00,10.00,2012.00,False,6349.00,5663.00,5791.00,6127.00
none,16.98,0.00,0.00,90.00,clouds,overcast clouds,18.00,1.00,10.00,2012.00,False,6127.00,4259.00,4770.00,4460.00
none,15.71,0.00,0.00,75.00,clouds,broken clouds,19.00,1.00,10.00,2012.00,False,4460.00,3069.00,3539.00,3418.00
none,14.21,0.00,0.00,90.00,clouds,overcast clouds,20.00,1.00,10.00,2012.00,False,3418.00,2378.00,2784.00,2775.00
none,11.96,0.00,0.00,90.00,clouds,overcast clouds,21.00,1.00,10.00,2012.00,False,2775.00,2030.00,2361.00,2306.00
